code,name,concept
000783,长江证券,['融资融券' '信托重仓' '股期概念' '券商重仓']
000785,武汉中商,['O2O模式' '参股金融' '武汉规划']
000786,北新建材,['装饰园林' '新能源' '保障房' '新三板' '建筑节能' '低碳经济']
000788,北大医药,['生物疫苗' '维生素' '高校背景' '成渝特区' '抗癌' '金融参股']
000789,万年青,['QFII重仓' '参股金融' '业绩预升' '保障房' '整体上市']
000790,泰合健康,['生物疫苗' '成渝特区' '抗癌' '业绩预升']
000791,甘肃电投,['陕甘宁' '股期概念' '金融参股']
000792,盐湖股份,['融资融券' '保险重仓' '稀缺资源']
000793,华闻传媒,['融资融券' '文化振兴' '信托重仓' '业绩预升' '创投概念' '三网融合']
000795,英洛华,['重组概念' '稀土永磁']
000796,凯撒旅游,['农村金融' '重组概念' '参股金融' '陕甘宁']
000797,中国武夷,['土地流转' '京津冀' '海峡西岸']
000798,中水渔业,['重组概念' '参股金融' '水域改革' '整体上市']
000799,酒鬼酒,['信托重仓' '基金重仓' '社保重仓' '摘帽概念' '业绩预降' '长株潭']
000800,一汽轿车,['融资融券' '图们江' '社保重仓' '整体上市' '特斯拉']
000801,四川九洲,['军工航天' '成渝特区' '物联网']
000803,金宇车城,['重组概念' '成渝特区']
000806,银河生物,['军工航天']
000809,铁岭新城,['业绩预升']
000810,创维数字,['成渝特区' '券商重仓']
000811,烟台冰轮,['节能环保' '地热能' '东亚自贸' '黄河三角']
000812,陕西金叶,['重组概念' '参股金融' '陕甘宁' '丝绸之路']
000813,德展健康,['节能环保' '涉矿概念' '重组概念' '参股金融']
000815,美利云,['太阳能' '陕甘宁' '摘帽概念']
000816,智慧农业,['涉矿概念' '沿海发展']
000818,方大化工,['股权激励' '聚氨酯' '参股金融' '振兴沈阳']
000819,岳阳兴长,['生物疫苗' '抗癌' '长株潭']
000820,神雾节能,['节能' '业绩预降' '振兴沈阳']
000821,京山轻机,['参股金融' '新三板' '金融参股']
000822,山东海化,['油气改革' '基因概念' '海水淡化' '黄河三角']
000823,超声电子,['参股金融' '触摸屏' '汽车电子' '券商重仓' '业绩预降' '苹果概念']
000825,太钢不锈,['整体上市' '苹果概念' '核电核能']
000826,启迪桑德,['融资融券' '固废处理' '节能环保' '股权激励' '基金重仓' '循环经济' 'O2O模式' '污水处理' '金融参股' '低碳经济']
000828,东莞控股,['农村金融' '金融改革' '参股金融' '新三板']
000829,天音控股,['文化振兴' '网络游戏' '信托重仓' '重组概念' '博彩概念' '苹果概念']
000830,鲁西化工,['券商重仓']
000831,*ST五稀,['稀土永磁' '业绩预降' 'ST板块' '稀缺资源']
000833,贵糖股份,['生物质能' '低碳经济']
000835,长城动漫,['成渝特区']
000836,鑫茂科技,['风能概念' '安防服务' '新能源' '业绩预升' '准ST股' '云计算' '风能']
000837,秦川机床,['机器人概念' '陕甘宁' '智能机器' '整体上市']
000839,中信国安,['融资融券' '参股金融' '体育概念' '锂电池' '新三板' '特斯拉' '分拆上市' '低碳经济']
000848,承德露露,['社保重仓' '京津冀']
000850,华茂股份,['涉矿概念' '参股金融' '创投概念' '券商重仓' '皖江区域' '金融参股']
000851,高鸿股份,['电商概念' '博彩概念' 'IPV6概念' '业绩预升' '创投概念' '电子支付' '新三板' '物联网' '三网融合']
000852,石化机械,['页岩气' '武汉规划' '海工装备']
000856,*ST冀装,['京津冀' 'ST板块']
000858,五 粮 液,['融资融券' '基金重仓' '社保重仓' '成渝特区' '保险重仓' '奢侈品']
000859,国风塑业,['生物燃料' '皖江区域']
000860,顺鑫农业,['农村金融' '生物育种' '参股金融' '生态农业' '保险重仓' '猪肉']
000861,海印股份,['涉矿概念' 'O2O模式' '含可转债']
000862,银星能源,['太阳能' '风能概念' '新能源' '陕甘宁' '丝绸之路' '风能' '低碳经济']
000863,三湘印象,['重组概念']
000868,安凯客车,['燃料电池' '皖江区域']
000869,张 裕Ａ,['融资融券' '含B股' '外资背景' '黄河三角']
000875,吉电股份,['风能概念' '图们江' '页岩气' '风能']
000876,新 希 望,['融资融券' '社保重仓' '参股金融' '成渝特区' '金融参股']
000877,天山股份,['融资融券' '丝绸之路' '保障房']
000878,云南铜业,['融资融券' '参股金融' '股期概念' '券商重仓' '整体上市' '新三板' '金融参股' '稀缺资源']
000880,潍柴重机,['黄河三角']
000881,大连国际,['重组概念' '参股金融' '创投概念' '自贸区' '东亚自贸' '振兴沈阳' '核电核能']
000882,华联股份,['信托重仓' 'O2O模式' '券商重仓' '保险重仓']
000883,湖北能源,['风能概念' '页岩气' '参股金融' '武汉规划' '业绩预升' '风能' '本月解禁' '核电核能']
000885,同力水泥,['业绩预降']
000886,海南高速,['三沙概念']
000887,中鼎股份,['O2O模式' '汽车电子' '保险重仓' '特斯拉' '皖江区域' '充电桩' '铁路基建']
000888,峨眉山Ａ,['社保重仓' '成渝特区']
000890,法 尔 胜,['超导概念' '参股金融' 'IPV6概念' '宽带提速']
000892,星美联合,['重组概念' '成渝特区' '业绩预降']
000893,东凌国际,['股权激励' '业绩预升' '粤港澳' '准ST股']
000895,双汇发展,['融资融券' 'QFII重仓' '基金重仓' '社保重仓' '业绩预升' '外资背景']
000897,津滨发展,['参股金融' '天津自贸' '股期概念' '京津冀' '准ST股' '金融参股']
000898,鞍钢股份,['海工装备' '含H股' '准ST股' '铁路基建']
000899,赣能股份,['新能源' '业绩预升' '核电核能']
000900,现代投资,['固废处理' '节能环保' '金融改革' '参股金融' '股期概念' '民营银行' '金融参股' '长株潭']
000901,航天科技,['军工航天' '汽车电子' '物联网']
000902,新洋丰,['参股金融' '生态农业']
000903,云内动力,['节能环保' '业绩预升']
000905,厦门港务,['海上丝路' '海峡西岸']
000906,物产中拓,['循环经济' '阿里概念' '长株潭']
000908,景峰医药,['涉矿概念' '长株潭']
